Thresholds;1;2;3;4;5
levenshtein;0.02745;0.05859;0.09609;0.13203;0.15937
intermediate;0.05742;0.13281;0.22812;0.325;0.40156
restricted;0.04961;0.11172;0.18594;0.26406;0.31875
trielevenshtein;0.15;0.14922;0.15156;0.15078;0.14531
