Thresholds;1;2;3;4;5
levenshtein;0.07057;0.14844;0.23984;0.34219;0.4125
intermediate;0.14427;0.34453;0.59688;0.87031;1.06563
restricted;0.12669;0.29297;0.47813;0.68906;0.82656
trielevenshtein;0.38594;0.40313;0.40313;0.40781;0.39844
